MathMLGSL_PERLRNG_WITH_OC,MathMLGSL_PERLRNG_WO_OC,PDLGSL_PDLGSLUNIF_WITH_OC,PDLGSL_PDLGSLUNIF_WO_OC,PDLGSL_PDLUNIF_WITH_OC,PDLGSL_PDLUNIF_WO_OC,PDLGSL_PERLRNGPDL_WITH_OC,PDLGSL_PERLRNGPDL_WO_OC
0.640400,0.642973,0.050202,0.050590,0.045482,0.045643,0.154749,0.153804
0.642245,0.640134,0.050960,0.049474,0.046012,0.046119,0.151091,0.154021
0.642337,0.640689,0.050494,0.051499,0.046865,0.045467,0.150365,0.154541
0.643684,0.645909,0.050194,0.050027,0.045560,0.045336,0.153683,0.150498
0.638727,0.642807,0.050215,0.050358,0.046246,0.045411,0.152827,0.153428
0.643340,0.639998,0.051078,0.050036,0.046231,0.045646,0.153706,0.150751
0.641601,0.644032,0.050027,0.049580,0.046231,0.045227,0.153098,0.154072
0.644125,0.645683,0.050410,0.049883,0.045980,0.045586,0.149999,0.152628
0.645700,0.644611,0.050450,0.049957,0.045571,0.045690,0.152895,0.153552
0.641786,0.642898,0.050759,0.051104,0.046067,0.048180,0.149856,0.154458
0.642973,0.641833,0.050439,0.050862,0.045544,0.045919,0.153164,0.154539
0.642841,0.644850,0.050294,0.050014,0.046362,0.045459,0.154233,0.149128
0.643335,0.646623,0.050588,0.050878,0.045560,0.045929,0.149003,0.153863
0.642996,0.637407,0.049734,0.049969,0.046388,0.045876,0.154850,0.154804
0.642937,0.640320,0.050266,0.049543,0.045691,0.045994,0.150646,0.153813
0.641710,0.644680,0.050614,0.049570,0.045733,0.045712,0.153256,0.152350
0.637793,0.642643,0.050260,0.050042,0.046535,0.045305,0.152996,0.153303
0.646483,0.636909,0.049796,0.050012,0.045947,0.045266,0.149245,0.154204
0.641464,0.641726,0.050525,0.050035,0.047105,0.045842,0.153019,0.153625
0.636090,0.647497,0.049511,0.050779,0.045727,0.045205,0.154846,0.153012
0.647530,0.654515,0.050768,0.050150,0.047854,0.048447,0.162424,0.152480
